County Name,Observation Count,Arithmetic Mean,Arithmetic Standard Dev
Kern,108,0.688056,1.070888
Kern,57,0.609825,0.901167
Kern,108,0.066204,0.083316
Kern,57,0.059123,0.064732
Kern,108,2.427037,3.512738
Kern,57,2.162281,2.950484
Kern,111,2.883369,1.659329
Kern,57,2.886368,1.666486
Kern,111,0.726099,0.665721
Kern,57,0.757474,0.590231
Kern,111,0.113495,0.243067
Kern,57,0.119561,0.216279
Kern,111,0.860568,0.529941
Kern,57,0.896018,0.513933
Kern,111,1.015811,0.564488
Kern,57,0.992842,0.581244
Kern,111,0.358802,0.124568
Kern,57,0.344175,0.121738
Kern,111,0.53818,0.389079
Kern,57,0.537228,0.430236
Kern,111,1.09609,0.921319
Kern,57,1.095456,0.852303
Kern,111,0.157892,0.059793
Kern,57,0.185825,0.082037
Kern,111,0.011045,0.005364
Kern,57,0.014035,0.007559
Kern,105,1.391678,1.011146
Kern,57,1.312456,0.809915
Kern,111,3.204189,1.803601
Kern,57,3.217211,1.767417
Kern,111,0.542712,0.506818
Kern,57,0.564474,0.489202
Kern,111,3.020748,1.654543
Kern,57,3.024263,1.660335
Kern,111,0.131964,0.243818
Kern,57,0.137754,0.216917
Kern,111,0.895099,0.530009
Kern,57,0.930614,0.513751
Kern,111,1.068883,0.562328
Kern,57,1.046298,0.578519
Kern,111,0.375793,0.122776
Kern,57,0.361421,0.119406
Kern,111,0.549,0.38789
Kern,57,0.548175,0.428439
Kern,111,0.721694,0.526357
Kern,57,0.730123,0.530902
Kern,111,0.726108,0.665717
Kern,57,0.757491,0.590225
Kern,111,0.542703,0.506825
Kern,57,0.564474,0.489202
Kern,111,3.066796,1.808306
Kern,57,3.079308,1.773117
Kern,111,1.098634,0.921021
Kern,57,1.098097,0.851819
Kern,111,0.164814,0.059506
Kern,57,0.192777,0.082104
Kern,111,0.011693,0.005336
Kern,57,0.014748,0.007541
Kern,111,0.732486,0.525238
Kern,57,0.741158,0.529257
Kern,99,10.590641,7.514721
Kern,51,10.536097,7.098196
Kern,108,0.969259,0.483953
Kern,57,0.943509,0.464372
Kern,8560,10.8975,8.877425
Kern,357,10.807003,7.281031
Kern,8393,4.564518,4.14687
Kern,1027,3.115579,2.539887
Kern,6938,5.963491,4.202894
Kern,8351,5.102622,6.357164
Kern,349,5.064756,3.497329
Kern,114,0.0,0.0
Kern,114,0.064123,0.05199
Kern,114,0.00164,0.001249
Kern,114,0.037096,0.028418
Kern,114,4.4e-05,0.000468
Kern,114,0.000904,0.001698
Kern,114,0.006553,0.025417
Kern,114,0.046447,0.036924
Kern,114,0.000447,0.000499
Kern,114,0.001149,0.000989
Kern,114,1.8e-05,0.000187
Kern,114,0.019851,0.01803
Kern,114,0.000895,0.001272
Kern,114,0.0,0.0
Kern,114,0.004298,0.003363
Kern,114,0.0,0.0
Kern,114,0.156877,0.126271
Kern,114,0.002728,0.006787
Kern,114,0.000386,0.000588
Kern,114,0.274342,0.228462
Kern,114,9e-06,9.4e-05
Kern,114,0.041009,0.045761
Kern,114,0.063149,0.059064
Kern,114,0.000237,0.000599
Kern,114,0.029362,0.044324
Kern,114,0.345044,0.408054
Kern,110,0.985091,0.737977
Kern,110,0.131727,0.085733
Kern,110,0.034391,0.055473
Kern,110,0.196818,0.165804
Kern,110,0.330082,0.260522
Kern,110,0.216,0.183816
Kern,110,0.208027,0.143578
Kern,110,0.283745,0.197099
Kern,110,0.056136,0.032694
Kern,110,0.0,0.0
Kern,114,0.003765,0.007219
Kern,114,1.131527,0.942464
Kern,114,0.445061,0.526366
Kern,114,0.712893,0.568107
Kern,110,1.773693,1.327879
Kern,114,0.717693,0.583051
Kern,114,4.238596,2.990531
Kings,8548,10.039775,9.564266
Kings,8626,12.581266,10.559817
Los Angeles,8685,8.148946,10.239926
Los Angeles,364,8.1,7.254329
Los Angeles,8631,11.792423,6.760199
Los Angeles,117,0.002222,0.009656
Los Angeles,59,0.025763,0.029933
Los Angeles,57,0.029088,0.03696
Los Angeles,117,0.0,0.0
Los Angeles,59,0.000525,0.000537
Los Angeles,57,0.000421,0.000533
Los Angeles,117,0.039034,0.041948
Los Angeles,59,0.112,0.064046
Los Angeles,57,0.106789,0.05693
Los Angeles,117,0.014957,0.021714
Los Angeles,59,0.017983,0.025262
Los Angeles,57,0.017912,0.024767
Los Angeles,117,0.001479,0.002049
Los Angeles,117,0.000658,0.007338
Los Angeles,59,0.005966,0.009469
Los Angeles,57,0.007158,0.008801
Los Angeles,117,0.05206,0.028381
Los Angeles,59,0.057186,0.033501
Los Angeles,57,0.054526,0.031319
Los Angeles,115,0.002757,0.003478
Los Angeles,59,0.003644,0.002941
Los Angeles,57,0.003649,0.002761
Los Angeles,115,0.0,0.000994
Los Angeles,59,0.000407,0.000529
Los Angeles,57,0.000333,0.000512
Los Angeles,115,0.004278,0.004368
Los Angeles,59,0.010441,0.012851
Los Angeles,57,0.010561,0.013443
Los Angeles,117,0.029966,0.085999
Los Angeles,59,0.100339,0.076715
Los Angeles,57,0.093982,0.073386
Los Angeles,117,0.004761,0.02335
Los Angeles,117,0.001248,0.014868
Los Angeles,59,0.000542,0.001119
Los Angeles,57,0.000649,0.001203
Los Angeles,115,0.14793,0.09248
Los Angeles,59,0.151203,0.086914
Los Angeles,57,0.149719,0.08164
Los Angeles,117,0.001521,0.004286
Los Angeles,59,0.002017,0.00121
Los Angeles,57,0.002053,0.001156
Los Angeles,117,0.000427,0.007898
Los Angeles,117,0.003838,0.003442
Los Angeles,59,0.004712,0.002297
Los Angeles,57,0.004807,0.002207
Los Angeles,59,0.003407,0.004885
Los Angeles,57,0.002614,0.00374
Los Angeles,115,0.001157,0.001144
Los Angeles,59,0.001169,0.000854
Los Angeles,57,0.001281,0.000996
Los Angeles,117,0.035872,0.042523
Los Angeles,59,0.072153,0.064929
Los Angeles,57,0.069842,0.063583
Los Angeles,117,0.000838,0.001952
Los Angeles,59,0.011373,0.004944
Los Angeles,57,0.011596,0.004739
Los Angeles,117,0.002214,0.003588
Los Angeles,59,0.002136,0.002649
Los Angeles,57,0.002246,0.002942
Los Angeles,117,0.003205,0.008171
Los Angeles,59,0.013542,0.019606
Los Angeles,57,0.015474,0.019299
Los Angeles,117,0.009299,0.005733
Los Angeles,59,0.007729,0.004394
Los Angeles,57,0.007386,0.004475
Los Angeles,117,5.1e-05,0.000222
Los Angeles,59,0.000576,0.000675
Los Angeles,57,0.000579,0.000625
Los Angeles,117,0.093974,0.08004
Los Angeles,59,0.118322,0.086844
Los Angeles,57,0.114632,0.080923
Los Angeles,117,0.000162,0.007497
Los Angeles,117,0.012692,0.00911
Los Angeles,59,0.011627,0.007256
Los Angeles,57,0.011842,0.007297
Los Angeles,117,0.001359,0.002238
Los Angeles,59,0.003254,0.009303
Los Angeles,57,0.003351,0.009397
Los Angeles,117,0.434145,0.346531
Los Angeles,59,0.456051,0.380074
Los Angeles,57,0.468368,0.381512
Los Angeles,117,0.000214,0.001847
Los Angeles,59,0.000678,0.000539
Los Angeles,57,0.000544,0.000537
Los Angeles,59,0.00078,0.000852
Los Angeles,57,0.000649,0.00079
Los Angeles,117,0.062513,0.03476
Los Angeles,59,0.112136,0.36653
Los Angeles,57,0.113754,0.381941
Los Angeles,59,0.000339,0.000545
Los Angeles,57,0.000281,0.000491
Los Angeles,117,0.250402,0.265836
Los Angeles,117,0.003983,0.008318
Los Angeles,117,0.297174,0.235135
Los Angeles,59,0.132542,0.07642
Los Angeles,56,0.141607,0.08686
Los Angeles,117,0.629658,0.800644
Los Angeles,59,0.789322,0.608978
Los Angeles,57,0.835614,0.641536
Los Angeles,117,0.051111,0.040954
Los Angeles,59,0.100169,0.365968
Los Angeles,57,0.107719,0.397524
Los Angeles,117,2.392906,2.01057
Los Angeles,59,1.628644,1.357592
Los Angeles,56,1.747857,1.438427
Los Angeles,98,2.354031,1.207476
Los Angeles,98,0.806582,0.434569
Los Angeles,98,0.093357,0.11856
Los Angeles,98,0.76552,0.385109
Los Angeles,98,0.875673,0.509501
Los Angeles,98,0.371296,0.171567
Los Angeles,98,0.251847,0.223172
Los Angeles,98,0.926694,0.54115
Los Angeles,98,0.12349,0.057775
Los Angeles,98,0.008969,0.005996
Los Angeles,115,0.784909,0.512302
Los Angeles,98,2.68248,1.290005
Los Angeles,98,0.618255,0.373013
Los Angeles,98,2.494133,1.204274
Los Angeles,59,4.989322,3.25649
Los Angeles,57,4.810526,2.668981
Los Angeles,98,0.111776,0.119274
Los Angeles,59,0.068712,0.097493
Los Angeles,57,0.088246,0.123882
Los Angeles,98,0.800806,0.385668
Los Angeles,59,2.001864,2.238874
Los Angeles,57,1.761404,1.700235
Los Angeles,98,0.929765,0.507671
Los Angeles,59,2.133729,0.952809
Los Angeles,57,2.134561,0.843953
Los Angeles,98,0.388908,0.170028
Los Angeles,59,0.588136,0.327475
Los Angeles,57,0.615614,0.318344
Los Angeles,98,0.263031,0.222911
