County Name,Observation Count,PM2.5 Mean,Arithmetic Standard Dev,Race Group,Percent Low Birthweight,PM2.5 Category
El Dorado,103,0.0,0.0,White,5.645,Healthy
El Dorado,103,0.002699,0.005079,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.002699,0.005079,White,5.645,Healthy
El Dorado,103,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.0,0.0,White,5.645,Healthy
El Dorado,103,0.087718,0.103597,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.087718,0.103597,White,5.645,Healthy
El Dorado,103,0.001126,0.001613,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.001126,0.001613,White,5.645,Healthy
El Dorado,103,0.000126,0.000362,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.000126,0.000362,White,5.645,Healthy
El Dorado,103,0.136146,0.101956,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.136146,0.101956,White,5.645,Healthy
El Dorado,103,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.0,0.0,White,5.645,Healthy
El Dorado,103,0.02334,0.018066,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.02334,0.018066,White,5.645,Healthy
El Dorado,103,0.034117,0.040487,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.034117,0.040487,White,5.645,Healthy
El Dorado,103,9.7e-05,0.00065,Non-White,5.2423076923076914,Healthy
El Dorado,103,9.7e-05,0.00065,White,5.645,Healthy
El Dorado,103,0.014049,0.029187,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.014049,0.029187,White,5.645,Healthy
El Dorado,103,0.117524,0.14387,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.117524,0.14387,White,5.645,Healthy
El Dorado,103,0.866699,0.771504,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.866699,0.771504,White,5.645,Healthy
El Dorado,103,0.114757,0.129387,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.114757,0.129387,White,5.645,Healthy
